"word1","word2","n"
"biden","declassifies",1
"biden","discover",1
"biden","environmental",1
"biden","jobs",1
"biden","potus",1
"biden","recover",1
"biden","remember",1
"biden","set",1
"biden","suggests",1
"biden","trump",1
"biden","visits",1
"biden's","humanity",1
"biden’s","3.5",1
"biden’s","agenda",1
"biden’s","financial",1
"biden’s","infrastructure",1
"biden’s","solar",1
"bifacial","solarcells",1
"biffmack","themiwi",1
"bigag","transparency",1
"bigalreilly12","theprmonitor",1
"bigbiz","polluters",1
"bigbluebeez","earthaccounting",1
"bigger","climatechange",1
"bigger","harvests",1
"bigger","hurricanes",1
"bigger","issues",1
"bigger","kids",1
"bigger","picture",1
"bigger","rains",1
"bigger","sack",1
"bigger","weatherprof",1
"biggest","ally",1
"biggest","biden",1
"biggest","blow",1
"biggest","challenges",1
"biggest","city",1
"biggest","climate",1
"biggest","commercial",1
"biggest","composting",1
"biggest","crisis",1
"biggest","drivers",1
"biggest","drought",1
"biggest","events",1
"biggest","fan",1
"biggest","health",1
"biggest","human",1
"biggest","influence",1
"biggest","infrastructure",1
"biggest","island",1
"biggest","issues",1
"biggest","lizard",1
"biggest","obstacles",1
"biggest","pandemic",1
"biggest","polluters",1
"biggest","public",1
"biggest","river",1
"biggest","threats",1
"biggest","toughest",1
"biggest","trends",1
"biggie","ecoanxiety",1
"bigoil","amp",1
"bigoil","defense",1
"bigoil","fossilfuels",1
"bigpharma","bigtech",1
"bigtech","scam",1
"bigtentthinking","nkorotash",1
"bigzero","webinar",1
"bihar","jharkhand",1
"bike","cleantechnica",1
"bike","zealot",1
"bikelife","climatechange",1
"bikelife","smartmobility",1
"bikenyc","walknyc",1
"bikes","america",1
"bikes","shipping",1
"bikin","russia",1
"bilateral","trade",1
"bill","churney",1
"bill","mckibben",1
"bill","pricecarbon",1
"bill","shout",1
"bill_capehart","adamskipeter",1
"bill_in_dc","mikeslastword",1
"billbalzar","benjibacker",1
"billed","cuckoo",1
"billgates","elonmusk",1
"billie","spins",1
"billion","amp",1
"billion","barrels",1
"billion","communities",1
"billion","dollar",1
"billion","euros",1
"billion","grant",1
"billion","hiroshima",1
"billion","oilandgas",1
"billion","seedlings",1
"billion","spending",1
"billion","tonnes",1
"billion","trees",1
"𝐛𝐢𝐥𝐥𝐢𝐨𝐧","𝐲𝐫",1
"billionaire","class",1
"billionaire","marc",1
"billiontreetsunami","save",1
"billmckibben","jeffreyblandphd",1
"billowed","softly",1
"bills","endfossilfuels",1
"bills","handy",1
"bills","renewable",1
"bills","replacing",1
"bimb0slice","climate",1
"bin","commuter",1
"bin","recycling",1
"bindarhonda","qnsbprichards",1
"bindiirwin","abigailbreslin",1
"binding","international",1
"bins","recycling",1
"bio","greennewdeal",1
"bio","hurricaneida",1
"bio","risk",1
"bio_carta","beauty",1
"biobased","feedstocks",1
"bioclimatic","setting",1
"biodefense","healthsecurity",1
"biodegradable","water",1
"biodiesel","programme",1
"biodiveristy","loss",1
"biodiversity","adapt",1
"biodiversity","animal",1
"biodiversity","ar6",1
"biodiversity","biodiversity",1
"biodiversity","biodiversityisourlife",1
"biodiversity","biodiversityloss",1
"biodiversity","caterantrail",1
"biodiversity","cc",1
"biodiversity","collectonceuseoften",1
"biodiversity","conference",1
"biodiversity","fornature",1
"biodiversity","francediplo_en",1
"biodiversity","genebank",1
"biodiversity","governance",1
"biodiversity","grazing",1
"biodiversity","ground",1
"biodiversity","impartiality",1
"biodiversity","interactions",1
"biodiversity","interlinkages",1
"biodiversity","isn’t",1
"biodiversity","iucncongress",1
"biodiversity","marinescience",1
"biodiversity","naturebasedsolutions",1
"biodiversity","penguins",1
"biodiversity","president",1
"biodiversity","provide",1
"biodiversity","redistribution",1
"biodiversity","refers",1
"biodiversity","renewableenergy",1
"biodiversity","resilience",1
"biodiversity","restoration",1
"biodiversity","rewilding",1
"biodiversity","risk",1
"biodiversity","rural",1
"biodiversity","scientists",1
"biodiversity","shareaction's",1
"biodiversity","sill",1
"biodiversity","socialequity",1
"biodiversity","sustainability",1
"biodiversity","uk",1
"biodiversity","wildlife",1
"biodiversity","yannick",1
"biodiversity","yessatiucncongress",1
"biodiversity","yesterday",1
"biodiversity_06","biodiversity",1
"biodiversity_06","crucial",1
"biodiversity’s","preservation",1
"biodiversitycrisis","biodiversityloss",1
"biodiversitycrisis","ekoandviolet",1
"biodiversitycrisis","publichealth",1
"biodiversityisourlife","biodiversityclimatescience",1
"biodiversityloss","agriculture",1
"biodiversityloss","amp",1
"biodiversityloss","biodiversity",1
"biodiversityloss","e.t.c",1
"biofuels","check",1
"biogeochemical","feedbacks",1
"biogeography","genomics",1
"biological","amp",1
"biological","buffers",1
"biologicaldiversity","oceans",1
"biologist","uow",1
"biology","environment",1
"biology","oceanography",1
"biology","polar",1
"biology","tardigrades",1
"biologyletters","special",1
"biomass","0",1
"biomass","0.2",1
"biomass","0.5",1
"biomass","1",1
"biomass","2.2",1
"biomass","2.3",1
"biomass","2.7",1
"biomass","2.8",1
"biomass","denier",1
"biomass","hydro",1
"biomedecine","published",1
"biomedical","journals",1
"biontech_group","moderna_tx",1
"biophysics","economics",1
"bioplastic","recycle",1
"bioplastic","recyle",1
"biospain2021","audience",1
"biosphere's","response",1
"biotech","twitter",1
"biovintciat_eng","cgiar",1
"bipartisan","friday",1
"bipartisan","spirit",1
"bipartisansenate","climate",1
"bipoc","community",1
"bipoc","hv",1
"bird","airport",1
"bird","dispersal",1
"bird","feeding",1
"bird","tickets",1
"birdemergency","gretathunberg",1
"birding","nature",1
"birdphotography","twitternaturecommunity",1
"birds","birding",1
"birds","climatechange",1
"birds","disperse",1
"birds","environment",1
"birds","ornithology",1
"birds","protectwildlife",1
"birds","visit",1
"birdtwitter","wildlife",1
"birdwatching","squawking",1
"birmingham","climatechange",1
"birth","bk:ny",1
"birth","climatechange",1
"birth","control",1
"birth","law",1
"birthday","gareth",1
"birthday","hartlepool",1
"birthday","twins",1
"birthing","people",1
"biscay","including",1
"bison","amp",1
"bit","counts",1
"bit","late",1
"bit","shifts",1
"bitcoin","23m",1
"bitcoin","amp",1
"bitcoin","bitcoin",1
"bitcoin","ethereum",1
"bitcoin","succeed",1
"bixby","knoll's",1
"bizmattersedin","gretathunberg",1
"bjchippindale","oscarswild1",1
"bjchippindale","xxghostface420",1
"bjornlomborg","bjorn",1
"bjp4mumbai","dev_fadnavis",1
"black","african",1
"black","americans",1
"black","anti",1
"black","death",1
"black","families",1
"black","fossil",1
"black","latino",1
"black","latinx",1
"black","rock",1
"black","summer",1
"𝐁𝐥𝐚𝐜𝐤","𝐜𝐡𝐢𝐥𝐝𝐫𝐞𝐧",1
"𝐁𝐥𝐚𝐜𝐤","𝐬𝐞𝐧𝐢𝐨𝐫𝐬",1
"blackcarbon","25",1
"blackincbooks","climatechange",1
"blackingeoscienceweek","climatechange",1
"blacklivesmatter","fund",1
"blacklivesmatter","latinos",1
"blacklivesmatter","lovematters",1
"blacklivesmatter","science",1
"blackpool","uk",1
"blacktwitter","blacklivesmatter",1
"blacktwitter","blackstemusa",1
"blah","climatechange",1
"blame","climate",1
"blame","greta",1
"blame","no2fossilfuels",1
"blame","russia",1
"blames","climatechange",1
"blaming","climate",1
"blaming","climatechange",1
"blanc","4810",1
"blanc","summary",1
"blanket","covering",1
"blanket","grows",1
"blatant","redistribution",1
"blaze","reined",1
"blazing","inferno",1
"blazquez","bp_plc",1
"bleaching","symptoms",1
"bleed","advertising",1
"blevins","major",1
"blind","eye",1
"blind","readingtime",1
"blindly","believed",1
"blm","equality",1
"blm","ghosting",1
"blm","globalwarming",1
"blm","lgbtq",1
"blmnational","continues",1
"blmnational","spins",1
"bloated","pentagon",1
"bloc","climatechange",1
"blockchain","cryptocurrecy",1
"blockchain","cryptocurrency",1
"blockchain","fight",1
"blockchain","innovation",1
"blockchainci","climateactionnow",1
"blocked","national",1
"blocked","oxfordcircus",1
"blocks","approach",1
"blocks","bridgnorth",1
"blocks","city",1
"blocquebecois","atissuecbc",1
"blog","breaks",1
"blog","covers",1
"blog","dtutweet",1
"blog","ecoluxury",1
"blog","governance",1
"blog","read",1
"blood","dimmed",1
"blood","glacier",1
"bloomberg","climate",1
"bloomberg","climatechange",1
"bloomberg","philanthropies",1
"bloombergdotorg","mikebloomberg",1
"bloombergtv","luisamneubauer",1
"blooms","climateaction",1
"blow","uow's",1
"blowing","climatechange",1
"blowing","smoke",1
"blue","bonds",1
"blue","danube",1
"blue","fingertprint",1
"blue","green",1
"blue","growth",1
"blue","natura",1
"blue","realities",1
"blue","sky",1
"blue","tit",1
"blue","watertreatment",1
"bluecarbon","credits",1
"bluecarbon","englishcoast",1
"blueeconomy","renewableenergy",1
"bluenatura","partner",1
"blueorigin","spacex",1
"blumenthal","visited",1
"blysslv","ruhum_muzik",1
"bmbf_bund","funded",1
"bmeinl","klimakollaps",1
"bmel","bmg_bund",1
"bmel","juliakloeckner",1
"bmg_bund","hbraun",1
"bmj","editorial",1
"bmj_company","thelancet",1
"bmj_latest","climatechange",1
"bmj_latest","doctorsxr",1
"bmj_latest","helenrsalisbury",1
"bmjleader","fgodlee",1
"bmu","bmel",1
"bmu","eu_commission",1
"bmw","cars",1
"bmw","climatechange",1
"bmw","concept",1
"bmw","group’s",1
"bmwgroup","live",1
"bn","historically",1
"bn","ppl",1
"bnb","btc",1
"board","book",1
"board","leads",1
"board","meeting",1
"boarder","araake",1
"boat","polyp",1
"boat","strikes",1
"boats","aground",1
"bob","brown",1
"bob","lee",1
"bobby","rydell",1
"bobbykennedy","marilynmonroe",1
"bodies","ripped",1
"bodily","functions",1
"body","apparently",1
"body","blow",1
"body","couldn’t",1
"body","morgues",1
"body","nature",1
"body","positive",1
"bodycam","video",1
"bogland","privileged",1
"bogs","implications",1
"bogus","ccs",1
"boko","haram",1
"bold","actions",1
"bold","amp",1
"bold","climate",1
"bold","leadership",1
"bold","measures",1
"bold","promises",1
"bold","systemic",1
"bolder","climatechange",1
"boldly","addressing",1
"bolincentre","climatechange",1
"bolloré","transport",1
"bolsonarosp","cpacbrasil",1
"bolster","water",1
"bolt","ev",1
"bolt","recall",1
"bolton","businesses",1
"bombs","source",1
"bond","market",1
"bonds","basics",1
"bonds","conference",1
"bone","crushing",1
"bonjour","breastcancer",1
"boogie","woogie",1
"book","anika",1
"book","culminates",1
"book","discussion",1
"book","edited",1
"book","explores",1
"book","free",1
"book","giveaway",1
"book","living",1
"book","mark",1
"book","miseducation",1
"book","printing",1
"book","release",1
"book","review",1
"book","saving",1
"book","series",1
"book","talk",1
"booking","hotels",1
"booking","learn",1
"booklover","booksbooksbooks",1
"booklover","reading",1
"bookmark","thread",1
"books","climatechange",1
"books","reading",1
"books","water",1
"booksbooksbooks","reading",1
"booktwitter","nonfiction",1
"bookworm","booktwitter",1
"boom","renewables",1
"boost","climate",1
"boost","creative",1
"boost","electricity",1
"boost","incomes",1
"boost","support",1
"boost","tankers",1
"boosted","hurricane",1
"boosting","productivity",1
"border","collaboration",1
"border","force",1
"borders","human",1
"borders","join",1
"borders","rebeccawire",1
"borders","shortlisted",1
"borenbears","ericholthaus",1
"borgaon","jafrabad",1
"boring","amp",1
"boris","johnson",1
"boris","johnson's",1
"borisjohnson","10",1
"borisjohnson","bbcnews",1
"borisjohnson","emmanuelmacron",1
"borisjohnson","kwasikwarteng",1
"borisjohnson","scottmorrisonmp",1
"borisjohnson","tariqahmadbt",1
"borlace","takes",1
"borngeek","robhon_",1
"borrowed","time",1
"borrowing","cost",1
"borrowing","funds",1
"bosnia","amp",1
"boss","criticizes",1
"boss","switch",1
"boston","amp",1
"boston","climatechange",1
"botsccn","pacja1",1
"bottom","line",1
"bottomtrawling","deepseamining",1
"bought","property",1
"boulogne","france",1
"bounce","komododragons",1
"bound","rogue",1
"boundary","spanners",1
"bow","outstanding",1
"bow","valley",1
"bowling","club",1
"box","apply",1
"box","wasteful",1
"boxes","hear",1
"boy","choristers",1
"boycotteverything","generalstrike",1
"boycottfossilfuels","boycottplastic",1
"boycottplastic","boycotteverything",1
"boyer","lecture",1
"bp","dr",1
"bp_plc","delivers",1
"bp_plc","energy",1
"brad","crabtree",1
"brad","plumer",1
"bradschrag","guitarwombat",1
"brain","drained",1
"brain","kyanjo",1
"braindead","red",1
"brainer","debate",1
"braisincapital","sisu_sanity",1
"brajesh","kumar",1
"brand","champion",1
"branding","promotors",1
"brandondaly2018","marshallcd",1
"brave","green",1
"brazil","amazing",1
"brazil","animallovers",1
"brazil","animals",1
"brazil","antarctica",1
"brazil","argentina",1
"brazil","brazilianpolitics",1
"brazil","burning",1
"brazil","climatechange",1
"brazil","court",1
"brazil's","electricity",1
"brazil’s","worst",1
"brazilembassyuk","register",1
"bread","amp",1
"break","episode",1
"breakfastnews⁩","abcnews⁩",1
"breakfastwasfantastic","pakistandefenceday",1
"breakfreefromplastic","climatecrisis",1
"breaking","area51",1
"breaking","flooding",1
"breaking","heat",1
"breaking","leaked",1
"breaking","rainfall",1
"breaking","soilsecurity",1
"breakingthesilos","bridginthesilos",1
"breakout","session",1
"breathe","clean",1
"breathe","easier",1
"breathtakingly","beautiful",1
"breathtakingly","scary",1
"bred","animals",1
"breeding","programs",1
"breeding","seabirds",1
"breeds","fear",1
"breeds","tribalism",1
"brendanblumer","fighting",1
"brendanodwyer2","amp",1
"brent","korte",1
"brett","science",1
"brews","world’s",1
"brexit","covid",1
"brexit","racism",1
"brexit","thickos",1
"brexitdisaster","climatechange",1
"brexitnews","und",1
"brexitreality","foodshortages",1
"bri","threat",1
"brianstelter","climate",1
"brianvad","christianonre",1
"brianwilis","brightonsir",1
"brick","esg",1
"brickhouse0733","scotsfyre",1
"brics","academic",1
"bricsindia2021","orf",1
"bridge","collapsed",1
"bridgefire","californiawildfires",1
"bridges","roads",1
"bridging","gaps",1
"bridgingthesilos","climatechange",1
"bridginthesilos","capitalmarkets",1
"bridport","food",1
"bridport","foodsecurity",1
"briefing","paper",1
"bright","light",1
"bright","spots",1
"brightening","technique",1
"brighter","future",1
"brighton","cleanairnow",1
"brighton","marina",1
"brighton's","dft",1
"brightonsir","cbsnews",1
"brillant","benefits",1
"brilliant","article",1
"brilliant","climateactionnow",1
"brilliant","free",1
"brilliant","idea",1
"brilliant","oped",1
"brilliant","quiet",1
"brilliant","rudigervocals",1
"brilliant","step",1
"bring","awareness",1
"bring","carbon",1
"bring","change",1
"bring","climatechange",1
"bring","downpours",1
"bring","emissions",1
"bring","forward",1
"bring","leadership",1
"bring","life",1
"bring","ruin",1
"bring","seismic",1
"bringing","bigger",1
"bringing","equity",1
"bringing","home",1
"bringing","multiple",1
"bringing","unga76",1
"bringing","urgency",1
"brings","community",1
"brings","emissions",1
"brings","fresh",1
"brings","protest",1
"bringthemhome","climatechange",1
"bringyourownbrigade","lucywalkerfilm",1
"brink_thinker","drsasshole",1
"bristol","citizens",1
"bristol","shoplocal",1
"bristol","sustainability",1
"bristolbusiness","bristoluk",1
"bristolindependent","ilovebristol",1
"bristoluk","southbristol",1
"britain","aiming",1
"britain","aloksharma",1
"britain","amp",1
"britain","ireland",1
"britain's","economy",1
"britain's","sharma",1
"britain’s","bees",1
"britain’s","economy",1
"british","airways",1
"british","columba",1
"british","columbia",1
"british","columbians",1
"british","farmers",1
"british","habitats",1
"britishairways","livery",1
"britishairways","netzero",1
"britisharts","britishcouncil",1
"britishcolumbia’s","enhanced",1
"britishcouncil","climatechange",1
"britisheconomy","climatechange",1
"britishredcross","media",1
"britishspanish","panel",1
"brittleness","water",1
"bro","sensanders",1
"broadband","isp",1
"broadcasting","media",1
"broader","acceptance",1
"broader","animal",1
"broader","effort",1
"broader","scale",1
"broadly","creativeindustry",1
"broadly","note",1
"broadway","swaying",1
"broccoli","ida",1
"brocklebank","director",1
"broke","records",1
"broken","fictionbooks",1
"broken","foodsystems",1
"broken","planet",1
"broken","promises",1
"bronx","times",1
"bronze","age",1
"bronze","award",1
"broseph_stalin","climate",1
"brother","rcastillop",1
"brought","home",1
"brown","amp",1
"brown","chathamhouse",1
"brownertj","churchlady320",1
"browngeosci","undergrad",1
"broxelapp","commits",1
"brsr","climatechange",1
"brsr","sasb",1
"bruc","eliorg",1
"bruce","sang",1
"brucegulland","radioandrewe",1
"brucewillis","blasts",1
"bruch","eliorg",1
"bruch","referred",1
"bruegel_org","climatecrisis",1
"bruno","oberle",1
"bruno","pozzi",1
"brunosousa_gpc","pamdamoff",1
"brussels","climatechange",1
"brussels","paris",1
"brutally","frank",1
"brutindia","climatechange",1
"bruvs","climatechange",1
"bryanllenas","fema_deanne",1
"bs","ad",1
"bs","approach",1
"bs","billion",1
"bs","childcare",1
"bs","climateemergency",1
"bs","propaganda",1
"bsbibotany","extinctsymbol",1
"bst","22",1
"bst","kenya’s",1
"bst","ubscenter",1
"btas","webtoons",1
"btc","eth",1
"btc","grateful",1
"btw","californiawildfires",1
"btw","climatechange",1
"bu","bu",1
"buckethatalice","j_olwenyi",1
"budding","artist",1
"budget","climatechange",1
"budget","oilandgas",1
"budget","responsibility’s",1
"budgetbill","climatechangeisreal",1
"budgetreconciliation","package",1
"budgets","amp",1
"buffalo","ann",1
"buffalo","ny",1
"buffer","pools",1
"buffers","conservationland",1
"bugs4us","climate",1
"build","amp",1
"build","battery",1
"build","climateresilience",1
"build","damage",1
"build","diverse",1
"build","maps",1
"build","peace",1
"build","skills",1
"build","sustainable",1
"buildbackbetter","10downingstreet",1
"buildbackbetter","climateaction",1
"buildbackbetter","democratsareadisaster",1
"buildbackbetter","fixusa",1
"buildbackbetter","forpeopleforplanet",1
"buildbackbetter","fridaysforfuture",1
"buildbackbetter","leavenoonebehind",1
"buildbackbetter","sustainability",1
"buildforwardbetter","literacy",1
"building","blocks",1
"building","decarbonization",1
"building","defensive",1
"building","energy",1
"building","health",1
"building","london",1
"building","materials",1
"building","microgrids",1
"building","partnerships",1
"building","personnel",1
"building","petrochemical",1
"building","programmes",1
"building","regulations",1
"building","soil",1
"building","solutions",1
"building","spree",1
"building","stock",1
"building","structural",1
"building","sustainable",1
"building","understanding",1
"building","world",1
"buildingdecarbonization","sierraclub",1
"buildings","account",1
"buildings","atop",1
"buildings","ciao",1
"buildings","climatechange",1
"buildings","content",1
"buildings","cut",1
"buildings","download",1
"buildings","individuals",1
"buildings","prone",1
"builditin10years","sen_joemanchin",1
"builditin10years","senschumer",1
"builds","community",1
"buildthefuture","unopseb",1
"built","environment",1
"builtenvironment","concreteconstruction",1
"bulb","climatechange",1
"bulgaria","cop26",1
"bulgaria","romania",1
"bulkbiker","kevpluck",1
"bull","powerful",1
"bull","racing",1
"bullet","solution",1
"bulletin","beatairpollution",1
"bulletin","emissions",1
"bullettrains","200_250_kmph_lines",1
"bullish","oott",1
"bullshitjobs","undpclimate",1
"bumblebee","species",1
"bumblebeetrust","amp",1
"bundjugend","umweltinstitutm",1
"bunkering","infrastructure",1
"bunter","flickr",1
"bureauveritas","discuss",1
"bureauveritas","talk",1
"burkinafaso","experts",1
"burlingtongreen's","questions",1
"burlon","candidates",1
"burn","consume",1
"burn","facility",1
"burn","hold",1
"burned","release",1
"burning","coal",1
"burning","fish",1
"burning","larger",1
"burning","people",1
"burning","stuff",1
"burning","trees",1
"burning","wakeup",1
"burnt","climatechange",1
"bus","driver",1
"bus","engines",1
"bush","wh",1
"bushfire","catastrophe",1
"bushfire","emergency",1
"bushfires","climatechange",1
"bushfires","covid19",1
"bushfires","wildfires",1
"business","17",1
"business","ambition",1
"business","amp",1
"business","citylab",1
"business","climate",1
"business","continuity",1
"business","corporate",1
"business","development",1
"business","econometrics",1
"business","emergency",1
"business","energy",1
"business","enkingint.org",1
"business","entrepreneur",1
"business","event",1
"business","expectations",1
"business","incentivises",1
"business","investment",1
"business","leader",1
"business","learn",1
"business","lunch",1
"business","model",1
"business","necessity",1
"business","network",1
"business","partner",1
"business","partners",1
"business","profiteering",1
"business","reconafrica",1
"business","sector",1
"business","sectors",1
"business","stream",1
"business","target",1
"business","triresearch_",1
"business","weatherstrategy",1
"business","womenentrepreneurs",1
"business_stream","water",1
"businesses","amp",1
"businesses","california",1
"businesses","check",1
"businesses","consistently",1
"businesses","industries",1
"businesses","leaders",1
"businesses","tackling",1
"businesses","taking",1
"businessfinland","finchamindia",1
"businessmed","thematic",1
"businessnz_","buynzmade",1
"busnetwork","read",1
"bustani","garden",1
"busted","flush",1
"busting","tips",1
"busy","denying",1
"butcher","latisha",1
"butters","armada",1
"buxton","climate",1
"buy","bean",1
"buy","carbon",1
"buy","electriccars",1
"buy","online",1
"buy","waterfront",1
"byadavbjp","moefcc",1
"byadavbjp","undp_india",1
"bycatch","plasticpollution",1
"bydarrylfears","dinograndoni",1
"bye","bye",1
"bye","life",1
"byspoke","andrewp109",1
"bytownbees","kellyegancolumn",1
"c_no_borders","ineos_gm",1
"c12variant","muvariant",1
"c40cities","uclg_org",1
"c4news","lbc",1
"ca","climatechange",1
"ca","fires",1
"ca","voteno",1
"ca","woman",1
"ca_dem","thedemocrats",1
"ca's","coastal",1
"cabgirle","it’s",1
"cabinet","mountains",1
"caboverde","13",1
"caboverde","afdb_group",1
"caboverde","cop26glasgow",1
"cacao","production",1
"cacomeback","invests",1
"caf","found",1
"café","climatechange",1
"caff","board",1
"cagop","gop",1
"cagovernor","climatechange",1
"caha","expert",1
"cal_fire","nfpa",1
"cal_fire's","thomporter",1
"calamities","climatecrisis",1
"calcium","carbonate",1
"calderas","vulcanos",1
"caldor","blaze",1
"caldor","fire’s",1
"caldorfire","californiawildfires",1
"caldorfire","climatechange",1
"caldorfire","flooding",1
"caldorfire’s","smoke",1
"calendar","ukrealestateevents",1
"calendar","unga",1
"calendarcallout","happy",1
"calendars","cmi",1
"calfire","sfchronicle",1
"california","ca",1
"california","climateactioncorps",1
"california","coastal",1
"california","continuing",1
"california","drought",1
"california","farmers",1
"california","floods",1
"california","hunting",1
"california","merced",1
"california","oregon",1
"california","similarities",1
"california","study",1
"califòrnia","knowing",1
"califòrnia","won’t",1
"california's","caldorfire",1
"california's","drought",1
"california’s","approach",1
"california’s","buildings",1
"california’s","emissions",1
"california’s","landscape",1
"california’s","massive",1
"california’s","policy",1
"california’s","unprecedented",1
"californiaelection","californiarecall",1
"californiafires","cal_fire",1
"californiafires","wildfireseason",1
"californian","wildfires",1
"californiarecall","votenoontherecall",1
"californiawildfires","amp",1
"califpoli","ca_dem",1
"call","climatechange",1
"call","eu_commission",1
"call","home",1
"call","manufacturing",1
"call","no2fossilfuels",1
"called","33days",1
"called","buffer",1
"called","developedcountries",1
"called","leaders",1
"called","liberation",1
"called","motor",1
"called","nature",1
"called","rapid",1
"called","rebel",1
"called","yereba",1
"caller","reminds",1
"calling","2",1
"calling","climatechange",1
"calling","lawmakers",1
"calling","teenartists",1
"calls","youtube",1
"cam_walker","victoriangreens",1
"cambioclimatico","cambioclimático",1
"cambridge","authored",1
"cambridge","university",1
"cambridge_cares","explores",1
"cameronconant","unicef",1
"campaign","agroecologyworks",1
"campaign","amazon",1
"campaign","complete",1
"campaign","genlab",1
"campaign","medak",1
"campaign","outlining",1
"campaign","platforms",1
"campaign","wasteinmybag",1
"campaign4parks","climatechange",1
"campaign4parks","photography",1
"campaigners","amp",1
"campaigners","call",1
"campaigners","warn",1
"campese","iccaconsortium",1
"campesinos","farmers",1
"camps","1",1
"camps","climatechange",1
"campusfryslan","univgroningen",1
"can’t","agree",1
"can’t","blame",1
"can’t","continue",1
"can’t","cope",1
"can’t","expect",1
"can’t","grow",1
"can’t","hide",1
"can’t","ignore",1
"can’t","leave",1
"can’t","lose",1
"can’t","people",1
"can’t","return",1
"can’t","risk",1
"can’t","stand",1
"can’t","stop",1
"can’t","support",1
"can’t","survive",1
"can’t","trust",1
"can’t","wait",1
"can’t","waiting",1
"canada","100debates",1
"canada","alberta",1
"canada","bcpoli",1
"canada","cdnpoli",1
"canada","climateaction",1
"canada","climatechange",1
"canada","failed",1
"canada","france",1
"canada","holds",1
"canada","hurricanelarry",1
"canada","mexico",1
"canada","privatize",1
"canada","quebec",1
"canada","recently",1
"canada","sign",1
"canada","tackling",1
"canada","uae",1
"canada's","adaptation",1
"canada's","election",1
"canada's","major",1
"canada's","national",1
"canada's","political",1
"canada’s","climatechange",1
"canada’s","cons",1
"canada’s","emissions",1
"canada’s","infernal",1
"canada’s","paris",1
"canada’s","shift",1
"canada2030","oilandgas",1
"canadavotes","toronto",1
"canadian","elections",1
"canadian","federal",1
"canadian","guess",1
"canadian","minister",1
"canadian","political",1
"canadian","scientists",1
"canadian","twitter",1
"canadian","voters",1
"canadianbrand","canadianfashion",1
"canadianbuilds","pcl",1
"canadianfashion","handmade",1
"canadiangreens","7",1
"canadiangreens","candidate",1
"canadiangreens","mission",1
"canadiangreens","mps",1
"canadianpm","cma_docs",1
"canadians","care",1
"canadians","companies",1
"canadians","killing",1
"canadiansence","davidbroadley",1
"canal","completed",1
"cancelanimalag","climatechange",1
"cancelcoal","climatechange",1
"cancelstudentdebt","elxn44",1
"cancer","alley",1
"cancer","control",1
"cancer","risk",1
"cancer","sustainablesystems",1
"cancerous","tplf",1
"candidacy","it’s",1
"candidate","staff",1
"candidates","answer",1
"candidates","pc",1
"candidates","plans",1
"candidates","stop",1
"candidates","vaccinated",1
"candyce","talk",1
"caneurope","canintl",1
"caneurope","cansouthasia",1
"canfem","wealthtax",1
"canintl","calls",1
"canintl","caneurope",1
"canintl","sustainability",1
"canlab","ccpa",1
"cannabisindustry","emissionsreduction",1
"cannondesign's","director",1
"canoe","trip",1
"canpoli","jonathanwnv",1
"cans","doesn’t",1
"cansouthasia","climatechange",1
"cansouthasia","oxfordclimate",1
"canterbury","issue",1
"canterbury","justin",1
"canvas","memento",1
"capabilities","combined",1
"capability","build",1
"capability","capacity",1
"capacities","organised",1
"capacity","capable",1
"capacity","development",1
"capacity","locally",1
"capacity","worldwide",1
"cape","town's",1
"cape","town’s",1
"cape_acme","cdnpoli",1
"capehartj","democrats",1
"capital","allocations",1
"capital","business",1
"capital","held",1
"capital","markets",1
"capital","songwevera",1
"capitalism","amp",1
"capitalmarkets","globaltrade",1
"capitaplc","atos",1
"capitolriot","gop",1
"capitolriot","nohate",1
"cappucci","dougie",1
"capri","italy",1
"caps","pollution",1
"captivating","highlight",1
"capture","air",1
"capture","climate",1
"capture","co2",1
"capture","features",1
"capture","grows",1
"capture","projects",1
"captured","live",1
"caquetá","colombia",1
"car","amp",1
"car","charging",1
"car","commutes",1
"car","company",1
"car","contribute",1
"car","family",1
"car","hot",1
"car","industry",1
"car","owners",1
"car","ownership",1
"car","rich",1
"car","sales",1
"car","versus",1
"caratfunk","kiffie8",1
"caravans","yachts",1
"carbon","28daysforclimate",1
"carbon","aiq",1
"carbon","amp",1
"carbon","balance",1
"carbon","balanced",1
"carbon","based",1
"carbon","budget",1
"carbon","carbonfootprint",1
"carbon","circulareconomy",1
"carbon","climatediet",1
"carbon","coal",1
"carbon","commitments",1
"carbon","consumption",1
"carbon","crediting",1
"carbon","credits",1
"carbon","crisis",1
"carbon","cutting",1
"carbon","debt",1
"carbon","design",1
"carbon","desk",1
"carbon","economy",1
"carbon","ecosystems",1
"carbon","emission",1
"carbon","enhance",1
"carbon","entering",1
"carbon","extracted",1
"carbon","fee",1
"carbon","foot",1
"carbon","football",1
"carbon","free",1
"carbon","gains",1
"carbon","ghg",1
"carbon","intensity",1
"carbon","intensive",1
"carbon","levy",1
"carbon","lifestyle",1
"carbon","market",1
"carbon","match",1
"carbon","mineralisation",1
"carbon","offset",1
"carbon","output",1
"carbon","paid",1
"carbon","peak",1
"carbon","pricing",1
"carbon","profile",1
"carbon","ration",1
"carbon","seagrass",1
"carbon","sinks",1
"carbon","sources",1
"carbon","sustainability",1
"carbon","target",1
"carbon","taxes",1
"carbon","tour",1
